invoice_no,customer_id,category_id,payment_method_id,shopping_mall_id,invoice_date,quantity,price
I346190,C197542,4,2,3,2022-06-10,3,121.98
I218278,C192901,1,3,3,2022-04-06,5,1500.4
I140635,C165732,6,2,9,2021-02-06,4,143.36
I299722,C250375,4,1,8,2021-09-04,5,203.3
I188693,C830424,4,1,6,2022-05-15,5,203.3
I285017,C979966,5,2,5,2022-07-09,4,20.92
I210266,C732359,1,3,6,2021-01-30,5,1500.4
I128830,C958339,4,2,7,2022-01-15,5,203.3
I798900,C763430,1,2,3,2023-01-25,5,1500.4
I165542,C473395,1,2,5,2023-02-24,5,1500.4
I300156,C840574,1,3,1,2022-06-13,3,900.24
I333210,C316178,5,2,7,2021-06-24,5,26.15
I169920,C554848,5,2,1,2021-09-13,3,15.69
I263970,C176666,1,3,4,2022-11-08,5,1500.4
I329236,C500768,1,2,6,2022-05-11,5,1500.4
I226477,C177092,2,3,9,2021-11-08,3,1800.51
I537107,C181643,7,1,5,2023-02-13,1,1050.0
I335814,C241550,6,1,3,2021-07-15,3,107.52
I115143,C267634,7,3,2,2021-04-01,4,4200.0
I185330,C104537,1,1,4,2021-07-21,3,900.24
I159933,C125829,8,1,5,2022-02-17,4,46.92
I607940,C192232,1,1,6,2021-03-27,3,900.24
I135896,C145632,5,1,7,2023-01-18,1,5.23
I290568,C172980,1,1,3,2021-12-25,4,1200.32
I231790,C786389,7,1,1,2022-03-12,1,1050.0
I293113,C763143,1,2,6,2022-01-23,2,600.16
I235689,C317151,6,2,6,2022-10-01,4,143.36
I216433,C181369,1,3,7,2021-03-20,4,1200.32
I189325,C205806,5,3,1,2021-10-31,3,15.69
I109003,C960693,7,3,1,2021-12-05,2,2100.0
I294901,C149062,5,3,3,2021-03-16,5,26.15
I173362,C575209,1,3,6,2021-11-30,3,900.24
I100308,C104593,5,3,6,2022-07-11,1,5.23
I196343,C419663,1,2,3,2021-07-15,5,1500.4
I328390,C173832,4,2,1,2021-12-29,1,40.66
I575718,C673726,4,3,2,2021-10-17,3,121.98
I300930,C203758,6,2,3,2022-11-11,1,35.84
I189522,C319358,1,2,6,2022-04-14,1,300.08
I767351,C118920,1,3,7,2021-02-14,5,1500.4
I209094,C273795,1,3,5,2022-05-04,4,1200.32
I120506,C161549,5,3,6,2021-08-17,1,5.23
I247634,C106178,7,3,6,2021-01-03,3,3150.0
I290125,C571253,1,1,8,2021-12-16,5,1500.4
I128577,C187796,4,1,1,2021-12-13,5,203.3
I103860,C780077,2,3,10,2021-01-15,3,1800.51
I319832,C177773,2,2,8,2021-04-16,1,600.17
I206892,C284319,1,3,3,2023-02-16,5,1500.4
I219159,C257753,8,2,1,2022-11-25,2,23.46
I217204,C337265,7,2,1,2022-07-30,1,1050.0
I103435,C278238,4,3,9,2021-01-06,1,40.66
I256638,C332553,1,1,3,2021-10-16,2,600.16
I575127,C804962,8,3,4,2022-03-11,1,11.73
I138483,C181494,6,3,1,2021-07-26,3,107.52
I207883,C330934,6,3,1,2022-12-14,3,107.52
I124620,C310565,4,1,3,2022-06-10,1,40.66
I202525,C362308,1,1,3,2021-07-25,5,1500.4
I112970,C327240,5,3,3,2022-04-19,4,20.92
I187145,C311937,2,2,1,2021-02-01,4,2400.68
I146711,C332863,1,3,6,2022-12-12,5,1500.4
I796547,C217953,1,3,9,2022-08-16,3,900.24
I264439,C153768,4,3,1,2022-08-05,1,40.66
I173265,C925882,5,1,8,2022-03-02,1,5.23
I458267,C338056,1,1,2,2022-10-14,3,900.24
I804995,C281426,1,2,6,2022-06-01,3,900.24
I328614,C236545,1,3,4,2021-06-09,4,1200.32
I217067,C246128,5,3,10,2023-02-02,1,5.23
I622400,C659448,1,3,2,2022-12-11,5,1500.4
I285712,C182689,1,3,4,2023-02-02,4,1200.32
I206941,C275574,8,1,5,2021-07-29,4,46.92
I260889,C170598,2,1,6,2021-06-01,4,2400.68
I221687,C126302,4,2,6,2022-06-10,2,81.32
I329102,C110619,5,1,9,2021-06-10,4,20.92
I886969,C336002,1,2,10,2021-12-30,4,1200.32
I138531,C178179,1,1,4,2021-10-23,1,300.08
I300396,C220550,1,3,6,2023-02-05,1,300.08
I184977,C882891,2,3,6,2021-05-04,1,600.17
I334085,C195388,5,2,3,2021-04-16,3,15.69
I401082,C304884,1,1,2,2021-05-22,3,900.24
I113247,C460211,5,2,6,2022-06-24,4,20.92
I103032,C317778,1,2,1,2022-09-06,2,600.16
I273161,C230629,2,1,8,2021-08-22,3,1800.51
I793918,C229398,7,3,1,2021-05-16,3,3150.0
I227808,C264406,5,3,9,2022-09-20,5,26.15
I331456,C208164,2,2,5,2023-02-18,5,3000.85
I207428,C107425,6,3,1,2021-01-04,5,179.2
I338893,C214369,2,1,6,2021-02-14,5,3000.85
I233479,C308163,6,3,2,2022-12-21,5,179.2
I125870,C263781,5,3,7,2022-10-22,1,5.23
I933029,C162067,2,3,1,2022-06-12,1,600.17
I193805,C185089,1,1,6,2021-10-28,2,600.16
I263355,C951659,6,1,3,2021-09-28,2,71.68
I343481,C337234,5,1,4,2022-11-11,1,5.23
I154180,C274375,1,1,7,2022-03-25,3,900.24
I568146,C872467,1,1,9,2022-01-09,4,1200.32
I331843,C114926,4,1,5,2021-07-24,5,203.3
I270773,C100885,5,3,4,2022-02-08,4,20.92
I172188,C162690,1,1,4,2022-12-02,3,900.24
I503012,C247239,6,3,1,2021-11-06,4,143.36
I337752,C656385,4,3,6,2022-11-23,3,121.98
I281892,C612958,5,1,3,2022-04-26,3,15.69
I367714,C133233,1,3,5,2021-11-01,5,1500.4
I139953,C133104,1,3,5,2022-04-06,3,900.24
I281667,C117270,2,3,7,2022-05-06,4,2400.68
I267767,C561451,3,2,6,2022-01-18,3,45.45
I180439,C279748,4,2,1,2021-07-13,3,121.98
I171547,C701528,4,3,4,2022-03-23,1,40.66
I307530,C276940,3,2,1,2021-12-09,3,45.45
I277648,C199886,4,3,3,2022-03-05,4,162.64
I311441,C243029,1,3,5,2021-12-06,5,1500.4
I289274,C175770,1,1,6,2022-01-11,3,900.24
I182870,C242904,4,3,1,2022-12-31,1,40.66
I168863,C174485,1,2,8,2022-10-19,3,900.24
I247853,C179628,8,2,3,2021-10-16,5,58.65
I135641,C328493,7,2,8,2022-12-15,5,5250.0
I106566,C158009,6,3,1,2022-10-18,5,179.2
I707837,C267046,2,1,8,2021-10-30,1,600.17
I224609,C815594,4,1,8,2022-12-02,2,81.32
I252973,C305586,4,1,4,2021-11-04,4,162.64
I112746,C308714,4,3,3,2021-06-30,3,121.98
I107575,C273874,2,3,1,2022-02-12,3,1800.51
I465702,C264536,3,3,7,2021-04-15,4,60.6
I116445,C121607,1,3,6,2021-11-20,3,900.24
I307227,C122488,2,1,2,2022-06-26,2,1200.34
I266768,C127299,1,1,10,2022-06-09,4,1200.32
I806117,C350549,6,3,3,2021-08-31,2,71.68
I974701,C235717,5,1,3,2022-08-12,1,5.23
I844761,C336233,6,1,6,2023-01-06,3,107.52
I755973,C266116,5,3,1,2022-10-01,4,20.92
I273798,C197803,2,3,6,2022-11-04,2,1200.34
I744963,C174247,2,1,5,2021-09-25,5,3000.85
I172524,C803975,2,3,6,2021-05-12,5,3000.85
I144716,C329483,3,1,1,2021-12-29,3,45.45
I778069,C336579,2,3,4,2021-10-28,3,1800.51
I312451,C184401,1,3,5,2021-01-29,4,1200.32
I987501,C115243,2,2,10,2021-07-24,1,600.17
I334976,C332644,6,1,6,2021-01-15,2,71.68
I326191,C405891,4,3,10,2022-01-17,2,81.32
I302090,C114466,2,3,3,2022-10-14,5,3000.85
I329525,C231589,2,2,1,2021-09-25,1,600.17
I129458,C149981,1,1,1,2023-01-07,4,1200.32
I120912,C138928,1,3,8,2021-04-26,1,300.08
I194780,C845574,1,3,8,2021-06-22,3,900.24
I268221,C135124,7,3,3,2021-12-31,4,4200.0
I667822,C171907,1,1,6,2022-11-29,5,1500.4
I274088,C316630,1,3,8,2021-12-29,3,900.24
I262104,C240145,4,2,10,2021-06-24,4,162.64
I266168,C317131,1,1,4,2022-01-14,2,600.16
I298375,C210302,5,1,1,2021-01-01,2,10.46
I223096,C329731,4,2,1,2021-01-01,3,121.98
I184920,C181205,5,3,6,2022-03-19,3,15.69
I729427,C106439,4,3,6,2021-02-19,3,121.98
I212359,C207486,2,3,2,2021-02-28,3,1800.51
I268518,C222640,2,3,5,2022-02-16,5,3000.85
I120876,C684430,2,1,5,2021-05-28,2,1200.34
I202855,C541204,6,1,2,2021-10-18,4,143.36
I214097,C108553,4,3,4,2022-01-04,4,162.64
I734826,C190910,6,2,10,2021-10-08,3,107.52
I180691,C100828,1,1,10,2023-01-22,1,300.08
I663683,C985058,2,3,4,2022-04-27,5,3000.85
I832125,C260980,4,1,9,2023-02-04,4,162.64
I930227,C961465,1,3,5,2023-02-19,3,900.24
I300341,C945451,1,1,6,2021-07-16,5,1500.4
I261602,C304722,7,2,1,2021-10-24,2,2100.0
I116336,C303065,1,2,6,2022-08-30,2,600.16
I445784,C296166,1,3,1,2021-06-16,3,900.24
I230638,C233072,1,3,5,2021-01-30,3,900.24
I693801,C262209,1,3,1,2021-01-30,2,600.16
I308022,C394764,1,2,3,2021-02-19,1,300.08
I197462,C100496,2,3,1,2022-06-06,2,1200.34
I352891,C162936,8,2,7,2021-08-12,5,58.65
I261802,C285592,5,1,3,2021-07-31,2,10.46
I271300,C288934,1,2,10,2022-02-20,5,1500.4
I152854,C311903,1,3,4,2022-12-15,5,1500.4
I168180,C222012,6,3,3,2021-09-04,2,71.68
I248909,C257667,6,3,10,2021-11-04,2,71.68
I129742,C167890,2,3,3,2022-10-23,1,600.17
I201399,C274753,6,1,2,2021-02-09,3,107.52
I808736,C327640,1,3,6,2021-01-20,4,1200.32
I230095,C144638,7,3,4,2022-06-16,3,3150.0
I121860,C168603,1,1,1,2021-03-26,4,1200.32
I309182,C246545,1,2,3,2021-11-06,5,1500.4
I226526,C730873,8,2,5,2022-02-15,1,11.73
I334075,C338832,1,2,8,2022-03-31,2,600.16
I761866,C226928,1,2,5,2021-11-28,1,300.08
I152376,C248887,5,1,4,2022-11-05,4,20.92
I416703,C272662,4,1,6,2023-01-28,2,81.32
I267557,C699675,2,2,6,2021-10-19,3,1800.51
I289855,C133983,3,3,4,2021-02-08,2,30.3
I133996,C103218,2,3,8,2022-09-03,1,600.17
I107160,C184535,1,3,1,2022-03-12,2,600.16
I808865,C134166,1,1,8,2022-10-20,5,1500.4
I265183,C269977,5,1,6,2021-12-15,5,26.15
I286684,C181804,1,3,6,2022-03-01,3,900.24
I244309,C333606,1,3,8,2021-04-18,3,900.24
I299463,C715633,1,3,6,2021-04-21,1,300.08
I193403,C147670,1,3,2,2021-11-24,3,900.24
I177327,C296052,3,1,4,2021-10-16,5,75.75
I240213,C674191,1,2,1,2021-11-30,5,1500.4
I212588,C200525,3,3,5,2021-06-20,2,30.3
I140018,C837571,1,2,10,2022-06-26,2,600.16
I192351,C326518,7,1,4,2021-12-22,5,5250.0
I181236,C453474,6,2,3,2022-01-17,3,107.52
I249176,C444555,1,2,2,2023-02-03,3,900.24
I176084,C208952,1,3,5,2022-10-01,3,900.24
I128313,C769161,4,3,3,2021-03-23,4,162.64
I243939,C172186,4,3,4,2022-05-03,3,121.98
I230645,C501533,5,3,6,2022-04-03,4,20.92
I193530,C145041,6,1,2,2022-08-25,4,143.36
I154630,C116649,1,3,6,2021-11-06,4,1200.32
I375681,C238572,4,1,1,2021-01-02,1,40.66
I122225,C209081,1,1,10,2023-01-31,5,1500.4
I100527,C274542,1,3,3,2022-06-26,1,300.08
I297628,C912059,5,1,6,2023-01-16,5,26.15
I109794,C851405,4,1,1,2021-07-12,5,203.3
I226006,C840233,4,2,5,2022-05-11,1,40.66
I114195,C237229,1,2,5,2023-01-29,2,600.16
I296812,C325092,1,2,10,2022-06-02,3,900.24
I207633,C273191,8,3,5,2022-07-17,2,23.46
I285496,C171629,2,1,6,2021-06-12,1,600.17
I292025,C908232,6,3,9,2022-01-14,1,35.84
I317026,C664058,3,3,8,2022-05-03,5,75.75
I285485,C292818,2,3,4,2023-03-05,1,600.17
I824898,C291100,4,1,6,2022-02-02,2,81.32
I129223,C929238,1,3,6,2021-05-16,1,300.08
I175520,C475694,1,1,3,2021-09-13,1,300.08
I254327,C190367,5,3,1,2022-08-20,4,20.92
I156342,C144368,1,2,4,2021-07-20,1,300.08
I310657,C189769,1,2,1,2021-11-06,1,300.08
I284817,C106643,2,1,10,2022-03-12,5,3000.85
I623222,C100720,1,1,6,2023-03-07,3,900.24
I324009,C289485,3,3,6,2021-03-07,4,60.6
I120553,C209352,1,3,5,2021-05-30,5,1500.4
I180894,C263977,1,3,10,2022-05-06,1,300.08
I252172,C307620,6,1,4,2023-01-26,1,35.84
I124615,C137874,5,2,3,2022-11-07,1,5.23
I332972,C301223,2,3,6,2022-04-25,1,600.17
I140873,C259269,6,1,3,2021-11-23,1,35.84
I860703,C238958,3,1,7,2022-02-27,4,60.6
I184134,C194884,1,1,9,2022-04-26,5,1500.4
I649606,C212675,5,2,1,2021-03-27,1,5.23
I273806,C175930,1,3,6,2022-11-23,4,1200.32
I155095,C244310,2,1,1,2021-03-21,4,2400.68
I189033,C330133,3,2,3,2022-11-07,5,75.75
I338906,C263275,6,1,10,2021-12-30,3,107.52
I240140,C328107,8,1,6,2022-04-01,4,46.92
I249295,C324061,8,2,1,2022-10-14,2,23.46
I834799,C624705,1,3,6,2021-02-25,1,300.08
I314587,C190092,4,3,6,2023-01-25,5,203.3
I658447,C148988,7,2,7,2022-07-15,2,2100.0
I229045,C194328,5,3,6,2021-12-07,5,26.15
I906132,C221938,8,3,4,2022-10-10,2,23.46
I217683,C106174,1,1,5,2021-12-11,2,600.16
I114941,C985731,5,2,5,2023-02-14,1,5.23
I279697,C318216,1,3,1,2023-01-20,1,300.08
I585607,C190188,6,3,3,2021-11-26,3,107.52
I306120,C294603,1,3,6,2022-11-08,3,900.24
I269301,C128958,6,3,5,2022-11-05,2,71.68
I722251,C196675,4,2,6,2022-10-29,1,40.66
I244070,C864618,6,1,2,2023-02-27,1,35.84
I327674,C153751,5,1,4,2021-05-05,3,15.69
I102589,C770363,1,2,8,2022-10-27,3,900.24
I589171,C232432,1,3,6,2022-02-17,5,1500.4
I244736,C157406,1,2,1,2022-01-21,4,1200.32
I196940,C758709,4,3,1,2023-01-22,2,81.32
I228063,C298268,3,3,1,2021-01-22,4,60.6
I211570,C372503,5,1,3,2021-12-14,4,20.92
I302035,C178968,6,3,1,2022-07-13,3,107.52
I287877,C877871,4,3,4,2021-04-11,1,40.66
I886882,C383420,5,3,2,2021-09-12,3,15.69
I162287,C789556,2,1,6,2022-04-24,5,3000.85
I283904,C230985,1,2,4,2021-06-28,5,1500.4
I158717,C328116,1,3,6,2021-10-13,3,900.24
I983880,C262432,1,1,1,2022-11-15,1,300.08
I499153,C208471,1,1,7,2021-05-10,4,1200.32
I579494,C194753,4,3,7,2021-04-12,5,203.3
I333362,C246272,3,2,5,2022-04-21,5,75.75
I216950,C188428,1,3,6,2021-07-09,4,1200.32
I156148,C117481,7,3,9,2022-07-12,2,2100.0
I240218,C623098,4,3,7,2021-05-24,4,162.64
I548818,C309902,8,1,7,2022-02-13,5,58.65
I116315,C280916,1,2,6,2021-03-26,4,1200.32
I102845,C175442,8,3,3,2023-03-05,4,46.92
I301951,C227787,4,1,3,2021-11-14,2,81.32
I308014,C452094,1,3,6,2023-02-01,3,900.24
I247800,C305633,1,3,10,2022-11-18,3,900.24
I169489,C275803,1,3,5,2022-01-10,1,300.08
I214114,C316829,1,3,6,2022-05-06,5,1500.4
I261106,C927315,5,1,5,2021-03-29,4,20.92
I326171,C183222,7,2,3,2021-10-30,4,4200.0
I414602,C207331,6,3,6,2021-12-09,5,179.2
I312815,C268545,1,3,6,2022-05-27,5,1500.4
I230004,C316807,1,2,6,2021-08-25,3,900.24
I122501,C581333,2,3,2,2021-12-14,4,2400.68
I585668,C406706,1,3,6,2022-12-15,3,900.24
I243751,C172062,8,3,9,2021-04-28,1,11.73
I475013,C330278,8,1,4,2021-03-24,4,46.92
I911007,C108625,6,3,5,2021-09-08,5,179.2
I216957,C264757,1,3,6,2021-08-09,4,1200.32
I822719,C238623,1,1,6,2022-12-25,1,300.08
I306566,C301332,5,3,6,2021-01-04,1,5.23
I284812,C258918,2,3,3,2022-12-06,1,600.17
I235134,C328607,1,1,1,2022-11-17,5,1500.4
I171827,C322224,4,1,1,2021-01-31,5,203.3
I246848,C221960,6,3,6,2022-11-02,4,143.36
I216020,C138696,5,2,3,2022-03-21,5,26.15
I190858,C115173,1,2,4,2022-08-20,1,300.08
I872564,C618619,2,3,10,2023-02-05,1,600.17
I184740,C549078,1,3,3,2022-05-03,5,1500.4
I270534,C308379,1,1,1,2022-10-10,5,1500.4
I185448,C251606,5,3,5,2022-09-25,5,26.15
I305571,C221620,5,3,8,2022-10-26,4,20.92
I985838,C146791,1,3,5,2022-07-11,4,1200.32
I303727,C339749,2,3,1,2021-09-11,3,1800.51
I215008,C154755,8,3,3,2021-11-16,5,58.65
I310363,C204044,5,3,5,2022-10-08,5,26.15
I861524,C881412,1,1,6,2021-03-27,1,300.08
I142206,C155460,6,3,1,2021-11-12,3,107.52
I266099,C214425,1,2,9,2022-04-14,4,1200.32
I182758,C106160,4,3,2,2021-06-19,5,203.3
I842448,C762802,7,1,2,2022-07-27,1,1050.0
I312147,C211934,1,3,2,2021-05-19,1,300.08
I306387,C722974,1,3,3,2021-01-22,5,1500.4
I107067,C151576,6,3,8,2022-02-09,1,35.84
I259025,C237456,1,1,2,2022-07-04,2,600.16
I242288,C204479,4,3,6,2022-09-03,3,121.98
I272500,C952028,1,3,4,2023-02-06,5,1500.4
I153488,C124902,6,3,1,2021-01-16,1,35.84
I946064,C263274,4,2,10,2021-06-20,5,203.3
I190770,C189809,5,3,6,2021-01-28,2,10.46
I212733,C579846,1,1,3,2022-04-16,4,1200.32
I221747,C258297,4,1,1,2021-11-07,5,203.3
I283404,C298710,1,3,7,2022-10-19,3,900.24
I713801,C292123,1,1,4,2022-11-27,1,300.08
I159812,C213476,1,3,5,2022-09-25,4,1200.32
I315451,C114704,4,3,6,2021-04-13,2,81.32
I252539,C103651,7,2,3,2023-01-19,1,1050.0
I475859,C248263,2,1,1,2021-11-24,3,1800.51
I711875,C487747,4,3,2,2023-02-07,4,162.64
I939070,C126669,1,2,3,2021-06-27,1,300.08
I142662,C277812,1,1,8,2021-10-11,3,900.24
I327770,C358793,4,1,1,2022-07-15,2,81.32
I337895,C122501,4,3,1,2023-02-12,3,121.98
I707283,C270143,1,1,1,2021-09-27,4,1200.32
I127477,C207196,1,2,10,2022-05-19,4,1200.32
I176516,C477657,3,3,3,2021-07-28,4,60.6
I146391,C798183,1,3,8,2022-07-25,3,900.24
I182613,C276847,4,1,1,2022-01-18,3,121.98
I248014,C781598,1,1,3,2021-02-07,4,1200.32
I142143,C241769,7,1,7,2021-09-09,4,4200.0
I134066,C273883,7,3,6,2021-03-28,4,4200.0
I274981,C329966,7,3,5,2022-04-03,4,4200.0
I306851,C108589,4,3,6,2022-07-03,5,203.3
I215533,C697164,1,3,3,2021-08-11,5,1500.4
I301051,C248400,7,3,4,2022-06-26,5,5250.0
I204201,C640347,2,3,3,2022-12-05,4,2400.68
I323374,C123131,6,1,4,2022-09-04,3,107.52
I317412,C262609,1,3,4,2021-08-14,4,1200.32
I260332,C237342,5,1,3,2022-09-23,4,20.92
I178834,C188293,8,1,7,2021-07-23,1,11.73
I447422,C465460,1,1,3,2022-10-18,2,600.16
I149381,C708473,5,2,10,2021-06-20,1,5.23
I133644,C312946,7,1,4,2021-01-20,4,4200.0
I979806,C734916,6,1,1,2022-11-30,1,35.84
I318964,C175099,1,1,7,2023-02-20,4,1200.32
I165242,C226002,1,3,1,2021-09-06,4,1200.32
I249723,C318595,5,1,5,2023-03-06,2,10.46
I287477,C169505,1,1,1,2022-12-14,2,600.16
I163360,C192282,7,3,3,2021-04-17,4,4200.0
I159082,C234796,1,3,5,2022-08-30,2,600.16
I398724,C175850,5,3,10,2022-06-27,1,5.23
I119030,C273608,4,3,6,2021-07-21,2,81.32
I992710,C116239,4,2,7,2021-11-27,5,203.3
I304751,C256803,1,1,2,2021-08-20,2,600.16
I236743,C233885,4,3,10,2022-09-19,2,81.32
I199517,C229505,2,3,3,2021-01-10,5,3000.85
I276053,C239935,2,2,4,2022-07-24,5,3000.85
I205457,C531137,1,2,2,2022-06-03,1,300.08
I144059,C624057,1,1,6,2021-01-26,4,1200.32
I377578,C112903,2,1,7,2022-02-06,4,2400.68
I310433,C210499,5,1,6,2023-01-18,2,10.46
I626197,C991359,4,1,6,2021-12-07,1,40.66
I929015,C444811,4,2,4,2021-01-14,1,40.66
I177861,C837058,3,3,1,2022-02-07,2,30.3
I224863,C500300,4,3,3,2021-07-10,3,121.98
I332803,C138577,4,3,8,2021-07-20,3,121.98
I616498,C161313,4,1,9,2021-09-11,5,203.3
I228998,C206706,5,1,9,2022-12-15,5,26.15
I949254,C309485,3,3,6,2021-08-20,4,60.6
I120252,C679996,1,3,6,2022-02-20,5,1500.4
I290410,C309305,6,2,3,2023-01-05,4,143.36
I120607,C123075,5,3,3,2021-01-31,2,10.46
I290043,C329267,4,3,6,2021-10-26,1,40.66
I245864,C138915,4,3,5,2022-02-07,3,121.98
I743085,C982889,2,3,1,2021-08-09,2,1200.34
I167751,C161212,2,3,5,2022-12-05,2,1200.34
I813161,C554098,2,1,1,2021-06-15,2,1200.34
I229473,C133062,8,3,1,2021-11-23,5,58.65
I280285,C334283,1,2,1,2022-04-24,5,1500.4
I265660,C775593,7,2,8,2022-09-25,2,2100.0
I304912,C202732,6,2,3,2021-10-04,2,71.68
I530362,C106231,4,2,7,2021-12-26,4,162.64
I335930,C343729,7,1,1,2022-05-20,5,5250.0
I232990,C229317,5,3,4,2022-10-12,5,26.15
I278127,C852432,2,3,1,2021-01-24,4,2400.68
I604217,C298495,1,3,4,2021-05-16,1,300.08
I105862,C612444,1,3,9,2022-01-21,3,900.24
I271639,C995881,3,1,6,2021-05-05,4,60.6
I332749,C266537,1,1,6,2022-08-07,1,300.08
I249766,C130130,6,1,10,2022-10-14,4,143.36
I192691,C226702,5,3,6,2021-01-05,3,15.69
I347093,C196263,1,1,1,2022-06-27,5,1500.4
I246201,C115552,6,1,5,2022-07-31,2,71.68
I286493,C328184,1,1,8,2022-06-04,2,600.16
I293484,C277345,1,3,1,2022-07-08,2,600.16
I203720,C306762,1,3,6,2022-01-04,5,1500.4
I320338,C113196,6,3,1,2021-11-10,3,107.52
I427773,C306719,6,2,1,2021-06-26,4,143.36
I199553,C240095,5,1,3,2021-05-09,5,26.15
I965436,C185864,3,3,1,2022-02-24,5,75.75
I248226,C226192,1,1,6,2021-10-06,3,900.24
I623770,C331785,4,3,4,2022-10-11,1,40.66
I267152,C219766,1,2,5,2022-04-10,1,300.08
I257016,C426723,4,1,8,2022-06-30,1,40.66
I221450,C270429,1,1,7,2022-08-12,5,1500.4
I108723,C147239,1,2,8,2022-10-12,5,1500.4
I153947,C964405,1,1,7,2021-07-10,5,1500.4
I287978,C260762,1,3,10,2023-02-09,5,1500.4
I184995,C102456,6,2,1,2021-10-11,1,35.84
I147736,C304297,7,2,6,2023-01-27,3,3150.0
I212335,C193734,1,1,1,2022-07-19,1,300.08
I100243,C332855,1,3,1,2023-01-12,1,300.08
I240064,C844704,2,3,8,2023-03-04,3,1800.51
I769146,C208135,7,3,8,2022-09-23,5,5250.0
I102149,C253677,1,2,6,2022-03-22,4,1200.32
I419405,C272019,3,3,3,2021-02-17,4,60.6
I159965,C272596,1,3,3,2023-02-26,1,300.08
I256748,C123151,8,1,1,2022-06-09,2,23.46
I153993,C186559,3,1,1,2022-05-05,1,15.15
I331507,C223307,2,2,6,2022-03-14,1,600.17
I737590,C148026,1,3,6,2022-03-24,1,300.08
I263036,C948041,6,3,3,2021-12-04,4,143.36
I158677,C322343,1,1,2,2021-12-19,1,300.08
I392089,C326616,3,1,4,2021-04-24,3,45.45
I299450,C138780,1,3,9,2022-02-22,5,1500.4
I222796,C238707,7,1,4,2022-02-09,5,5250.0
I189628,C180857,1,2,1,2021-07-30,2,600.16
I158691,C125478,3,1,10,2023-01-15,1,15.15
I281296,C697518,1,3,4,2021-09-24,3,900.24
I136316,C300132,1,3,1,2022-05-30,5,1500.4
I273542,C211670,4,1,7,2021-05-08,2,81.32
I134851,C335427,6,3,6,2022-02-16,3,107.52
I601278,C188157,4,2,1,2022-02-06,3,121.98
I323729,C126063,1,3,1,2021-03-03,3,900.24
I958522,C175529,1,3,1,2021-09-08,1,300.08
I169529,C181510,4,1,10,2022-07-21,4,162.64
I239565,C209757,5,2,1,2021-12-15,5,26.15
I311556,C191643,2,3,5,2022-04-03,2,1200.34
I595430,C204021,2,1,4,2021-06-15,4,2400.68
I325015,C284978,1,1,8,2023-01-04,4,1200.32
I103279,C108938,1,3,3,2022-07-13,3,900.24
I321465,C821815,6,3,8,2022-06-25,2,71.68
I144689,C238587,1,3,1,2023-01-26,3,900.24
I272665,C239053,5,1,1,2022-08-11,3,15.69
I107763,C333478,1,3,6,2022-02-28,3,900.24
I120725,C141458,1,1,1,2021-04-16,2,600.16
I296910,C286083,1,1,4,2021-05-28,5,1500.4
I105683,C245051,1,3,1,2021-12-01,3,900.24
I263338,C145986,1,1,4,2023-02-19,2,600.16
I519344,C262656,1,1,6,2021-09-17,3,900.24
I153728,C541256,1,1,4,2022-07-18,2,600.16
I336585,C323919,5,2,6,2022-08-30,5,26.15
I205972,C945098,5,1,9,2023-02-08,5,26.15
I313975,C184922,1,1,10,2022-11-08,2,600.16
I179214,C185909,6,1,9,2021-12-06,1,35.84
I484701,C230579,1,2,1,2021-08-25,1,300.08
I311165,C224226,6,3,2,2021-08-02,2,71.68
I328463,C217789,5,1,10,2022-06-22,2,10.46
I494290,C223999,8,3,7,2022-08-26,1,11.73
I111656,C933131,2,3,6,2021-08-16,4,2400.68
I250663,C395256,5,3,8,2022-07-31,2,10.46
I295469,C209120,4,1,5,2022-06-09,3,121.98
I300160,C228319,7,1,1,2022-04-30,3,3150.0
I710456,C122499,5,1,5,2022-08-31,2,10.46
I523214,C283182,1,1,7,2022-03-03,2,600.16
I181219,C311206,1,3,3,2022-09-11,2,600.16
I317276,C256258,1,3,10,2023-02-18,3,900.24
I138377,C149040,2,3,3,2022-03-26,1,600.17
I122057,C263696,6,1,3,2021-07-04,2,71.68
I749904,C300976,8,3,8,2021-08-11,4,46.92
I437541,C138181,1,1,1,2021-11-13,2,600.16
I174228,C159846,4,1,3,2021-12-20,3,121.98
I169275,C118606,1,2,3,2021-09-01,2,600.16
I442980,C331414,1,1,3,2021-08-25,2,600.16
I296922,C335844,5,3,6,2021-02-11,5,26.15
I319657,C333399,5,3,1,2021-06-11,3,15.69
I125562,C261046,6,3,5,2022-08-07,4,143.36
I286600,C157008,5,3,6,2021-03-03,2,10.46
I116438,C248783,8,3,4,2021-06-25,5,58.65
I170576,C171723,5,1,5,2021-07-16,5,26.15
I462818,C229313,5,2,4,2021-08-22,2,10.46
I100053,C217294,4,1,3,2023-01-02,3,121.98
I457970,C305938,7,2,8,2021-07-21,3,3150.0
I185056,C268627,2,3,8,2022-11-27,4,2400.68
I145116,C763115,3,3,7,2021-02-02,5,75.75
I141874,C128666,7,3,6,2021-08-29,3,3150.0
I285359,C455808,5,3,4,2021-01-15,3,15.69
I739386,C982195,1,3,5,2021-02-20,3,900.24
I188161,C289718,1,3,1,2022-04-17,3,900.24
I101982,C116333,7,3,7,2021-02-01,5,5250.0
I120264,C224641,1,1,5,2022-11-11,1,300.08
I216201,C518056,5,1,6,2022-11-09,5,26.15
